Particulars, Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Non Performing Loan (NPL) to Total Loan,,,,,,,,,,0.42,,0.38,0.16,,0.33%,0.32%,,0.37%,0.37,0.49%,0.84%,0.71%,0.70%,0.70%,0.62%,0.60%,0.60%,0.62%,0.62%,,0.65%,0.63%,0.66%,,0.67,0.63,0.38,0.36,0.70,0.67,0.51,0.26,0.25,,,0.207,0.19,,,,,,,,,,,,,,,,,,,,,
Total Loan Loss Provision to NPL,,,,,,,,,,100.00,,100.00,100.00,100.00,100.00%,100.00%,,100.00%,100.00,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,,100.00%,100.00%,100%,,100.00,100.00,100.00,100.00,100.00,100.00,100,100.00,493.84,,675%,,,,,,,,,,,,,,,,,,,,,,,
Average Yield,,,,,,,,,,,,8.71,,,10.81%,11.08%,,12.26%,11.96,11.94%,11.98%,10.47%,9.87%,10.21%,10.21%,9.34%,10.82%,10.13%,9.25%,,7.73%,8.14%,8.02%,,7.32,7.01,7.13,7.14,7.68,8.92,9.30,9.68,9.97,,10.33%,,10.61,,,,,,,,,,,,,,,,,,,,,
Cost of Fund,,,,,,,,,,,,3.62,4.75,4.10,6.67%,6.71%,,7.36%,7.10,6.96%,6.66%,4.94%,4.70%,4.59%,4.53%,4.46%,,,,,,,,,,,,,,,,,,,5.61%,6.08,6.23,,,,,6.39%,,,,,,,,,,,,,,,,
Net Interest Spread,,,,,,,,,,,,3.10,4.78,4.23,4.14%,4.37%,,4.90%,4.86,4.98%,5.32%,5.53%,5.17%,5.62%,5.68%,4.88%,6.93%,6.54%,5.69%,,,,,,,,,,,,,,,,,,4.38,,,,,,,,,,,,,,,,,,,,,
Other Information,,,,,,,,,,,,,,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market Value Per Share,,,,,,,,,,2390,,1449,1630,1075,1100,1121,,945,728,751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price Earning Ratio,,,,,,,,,,21.74,,14.28,16.27,13.99,14.33,13.48,,11.89,9.20,8.82,11.67,13.98,17.2,18.5,17.32,20.39,29.31,27.56,30.58,,25.92,27.03,27.17,,39.86,45.58,51.31,47.53,46.82,46.28,30.90,35.29,31.93,,20.91,,,,,,,,,,,,,,,,,,,,,,,
Liquidity (CRR),,,,,,,,,,10.25,,,,9.43,10.25,11.61,,14.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Worth Per share,,,,,,,,,,341.40,,317.35,332.00,256.25,270.54,294.53,83.18,259.68,279.36,303.67,327.76,271.37,291.03,315.51,342.06,280.86,299.07,321.38,346.94,,302.79,323.74,342.18,"88,198,504",286.90,304.26,323.81,339.73,207.79,220.04,229.99,210.65,164.66,,178.43,,,,,,,216.99,,,,,,,,,,,,,,,,
C/D Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost of Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,3.89%,3.59%,3.56%,,3.16%,3.30%,3.26%,,2.37,2.03,2.24,2.32,2.79,4.18,4.82,4.85,5.01,,5.61%,,,,,,,,,,,,,,,,,,,,,,,
Base Rate,,,,,,,,,,,,,,,,,,,,,,,7.04%,7.03%,7.16%,7.06%,6.77%,6.39%,6.40%,,6.01%,6.09%,6.14%,,,4.72,4.86,,5.48,7.03,7.68,7.91,7.84,,8.45%,8.80,8.22,,,,,8.34%,,,,,,,,,,,,,,,,
Paid Up Capital,,,,,,,,,,"1,520,121",,"838,821","1,279,607","1,279,607",,,,"1,391,570","1,391,570",,,,,,,,,,,,,,,,"2,742,604","2,742,604","2,742,604","2,742,604","4,606,427","4,606,427","5,741,095","6,115,235","8,106,863",,,"8,106,863","8,106,863",,,,,,,,,,,,,,,,,,,,,
Total Assets ,,,,,,,,,,"39,028,477",,"38,974,189","41,982,805","42,242,959",,,,"49,147,657","50,320,056",,,,,,,,,,,,,,,,"94,644,424","97,867,615","114,841,637","109,780,409","112,657,152","114,031,664","117,507,740","123,176,848","134,930,717",,,"145,562,639",,,,,,,,,,,,,,,,,,,,,,
Loans and Advances ,,,,,,,,,,,,"28,703,719","28,156,400","28,375,987",,,,"32,690,155","36,269,343",,,,,,,,,,,,,,,,"55,040,200","56,494,785","68,911,543","69,530,035","12,610,124","73,550,546","78,284,679","81,859,369","84,736,492",,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit/Loss ,,,,,,,,,,"175,617",,"631,869","831,766","207,348",,,,"244,626","487,028",,,,,,,,,,,,,,,,"753,775","1,209,052","1,730,242","513,421","971,575","1,525,882","1,981,698","531,474","1,140,081",,,,,,,,,,,,,,,,,,,,,,,,,
Credit to Deposit Ratio ,,,,,,,,,,,,79.36,71.34,12.11,,,,70.62,76.02,,,,,,,,,,,,,,,,72.15,76.43,76.24,76.97,76.60,70.89,76.94,76.91,75.84,,,77.32,76.23,,,,,,,,,,,,,,,,,,,,,
Earning Per Share,,,,,,,,,,109.96,,101.46,100.16,76.82,,,,79.45,79.09,,,,,,,,,,,,,,,,57.48,61.47,65.97,77.13,42.93,,,,,,,31.56,,,,,,,,,,,,,,,,,,,,,,
