Particulars,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Profit from Regular Activities,,,,,,,"172,521",,"347,660","99,770","202,190","257,668","384,391","119,069","219,620","376,381","499,127","41,235","146,442","232,966",,"31,327","191,994","453,910",,"161,536","381,225","569,852",,"237,862","530,272","879,982",,"281,154","781,674","1,258,082","2,606,476","594,589","1,207,515","1,769,240",,,"1,274,126","2,046,344",,,,,,,,,,,,,,,,,,,,,,,,
Extra Ordinary Income/Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before Bonus and Taxes,,,,,,,"172,521",,"338,803","99,770","202,190","257,668","384,391","119,069","219,620","376,381","499,127","41,235","146,442","232,966",,"31,327","179,200","441,116",4,"161,860","381,574","570,377",4,"238,019","530,405","880,985",4,"281,154","781,674","1,258,082","2,533,007","594,589","1,208,378","1,770,103",4,,"1,274,526","2,046,744",,,,,,,,,,,,,,,,,,,,,,,,
Provision for Staff Bonus,,,,,,,"15,684",,"30,800","9,070","18,381","23,424","34,945","10,824","19,965","34,216","45,375","3,749","13,313","21,179","47,175","3,083","16,589","40,594","70,974","15,087","34,655","51,954","113,203","21,638","48,219","80,090","109,263","25,559","71,061","114,371","230,273","54,054","109,853","160,918","178,251",,"115,866","186,068",,,,,,,,,,,,,,,,,,,,,,,,
Provision for Income Tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit/Loss ,,,,,,,"109,786",,"215,602","63,490","128,666","163,971","238,242","75,772","139,758","239,515","304,641","26,241","93,190","148,251",4,"18,996","112,843","278,738",,"101,511","242,954","362,561",3,"151,989","338,348","561,681",,"179,408","498,145","801,662","1,618,097","379,711","772,034","1,138,531",,,"813,794","1,307,802",,,,,,,,,,,,,,,,,,,,,,,,
Ratios,,,,,,,,,,,,4,4,4,4,4,4,81.02%,4,79.12%,75.40%,77.70%,78.04%,77.26%,76.53%,76.46%,75.40%,75.28%,73.34%,76.25%,77.83%,78.35%,76.71%,78.84%,77.50%,78.18%,76.71%,78.30%,77.92%,75.09%,77.55%,,78.33%,,,79.47%,78.77%,,,,,,,,,,,,,,,,,,,,,
Capital Fund to RWA,,,,,,,10.98,,10.45,11.20,10.62%,10.31%,11.05%,12.18%,11.30%,11.45%,11.75%,10.66%,10.39%,11.16%,11.54%,11.11%,10.68%,11.14%,12.28%,12.07%,11.50%,11.73%,12.27%,11.03%,11.61%,11.30%,11.19%,10.94%,11.12%,10.52%,13.21%,11.34%,11.63%,11.65%,11.12%,,12.47%,,,12.07%,13.18%,,,,,,,,,,,,,,,,,,,,,
Non Performing Loan (NPL) to Total Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40%,1.64%,,,,,,,,,,,,,,,,,,,,,
Total Loan Loss Provision to NPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
