Particulars,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Capital Fund to RWA,,,,,,,,,,,,,11.49,10.74%,11.19%,11.21%,11.65,,10.63%,10.52,12.68,11.10%,10.82,4.2,12.03%,,11.50%,13.04%,13.13,,13.06%,12.83%,12.98,12.86,12.47,12.78,12.41,11.95,11.87,12.28,12.2,10.97%,11.65,11.82,11.93%,11.27,11.30,12.02,,,,,,,,,,,,,,,,,,,,
Non Performing Loan (NPL) to Total Loan,,,,,,,,,,,,,0.82,0.74%,,,2.52,,2.89%,1.89,1.54,2.20%,2.10,4.3,1.64%,,3.22%,2.82%,2.26,,2.57%,2.55%,2.19,1.98,1.64,1.93,1.0,1.1,1.61,1.15,1.57,1.57%,1.61,1.29,0.69%,1.05,,0.76,,,,,,,,,,,,,,,,,,,,
Total Loan Loss Provision to NPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average Yield,,,,,,,,,,,,,10.90,12.56%,12.44%,12.36%,12.35,,12.38%,12.07,12.66,10.98%,10.71,,10.85%,,11.01%,10.45%,10.18,,10.09%,9.49%,9.41,8.98,8.93,8.62,8.40,8.20,9.06,11.44,11.89,12.13%,12.62,12.52,13.69%,8.20,,,,,,,,,,,,,,,,,,,,,,
Cost of Fund,,,,,,,,,,,,,7.48,8.67%,8.68%,8.80%,9.08,,9.14%,8.59,8.50,6.82%,6.41,4.5,6.64%,,5.05%,4.68%,4.84,,4.20%,4.17%,4.19,3.72,3.06,2.93,5.14,3.19,4.05,5.37,7.09,7.23%,6.98,8.22,7.04%,,7.57,6.97,,,,,,,,,,,,,,,,,,,,
Net Interest Spread,,,,,,,,,,,,,3.42,3.89%,3.76%,3.57%,3.27,,3.24%,3.48,4.16,4.16%,4.30,,4.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Credit to Deposit Ratio ,,,,,,,,,,,,,,,,,,,,,,,77.32,,,,,,,,,,,,79.71,,,,1847,,,,77.70,,75.35%,77.64,79.06,78.76,,,,,,,,,,,,,,,,,,,,
Other Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earning Per Share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.30,,,,,,,,,,,,,,,,,,,,,,,
Market Value Per Share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price Earning Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liquidity (CRR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Total Net Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Equity,,,,,,,,,,,,,6.47,21.85%,15.63%,12.22%,12.22,,10.36%,12.21,13.57,9.08%,17.61,,16.50%,,22.07%,13.79%,15.93,,13.56%,14.54%,13.68,16.22,18.77,16.50,16.01,18.24,18.88,19.03,16.88,11.86%,15.50,15.18,16.00%,18.24,,,,,,,,,,,,,,,,,,,,,,
Net Worth Per share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C/D Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost of Deposit,,,,,,,,,,,,,7.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base Rate,,,,,,,,,,,,,,,,,,,,,,,9.58,,9.98%,,8.46%,8.21%,7.92,,7.60%,7.46%,7.59,7.11,6.29,5.98,0.15,0.29,7.14,8.56,10.40,10.54%,10.31,11.68,10.55%,10.59,10.09,9.60,,,,,,,,,,,,,,,,,,,,
CCD Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.35,,,,75.91,75.97,,77.99,76.81,78.85,,78.85,72.44,,,15.29,,,,,,,,,,,,,,,,,,,,,,,,
Credit Deposit Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Loan Loss Provision to total NPL,,,,,,,,,,,,,154.79,232.97,,,126.40,,,115.31,136.63,,118.49,,,,,,111.00,,,,114.44,124.84,136.02,132.33,140.65,147.09,149.43,148.24,144.82,,132.92,148.92,,162.47,211.38,206.16,,,,,,,,,,,,,,,,,,,,
